S.no,Tiktoker name,Tiktok name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.,Subscribers (M),Views avg. (M),Likes avg. (M),Comments avg. (K),Shares avg. (K)
800,erabii,Mohanaderabii,1.4M,2.1M,132.8K,1.4K,1.7K,1.4,2.1,0.1328,1400.0,1700.0
801,ycn.benz,👑𝖄𝕬𝕮𝕴𝕹𝕰👑,132.1K,1.3M,44K,849,14.8K,0.1321,1.3,0.044,849.0,14800.0
802,conradovillagra,ᴄᴏɴʀᴀ,10.9M,3.2M,260.4K,864,167,10.9,3.2,0.26039999999999996,864.0,167.0
803,haniaheheofficiall,Hania Aamir,1.3M,2M,190.9K,1.8K,432,1.3,2.0,0.19090000000000001,1800.0,432.0
804,julesleblanc,jules,18.8M,2.2M,322.5K,952,270,18.8,2.2,0.3225,952.0,270.0
805,real_animasinopal,Animasinopal,1.8M,2.9M,277.7K,451,619,1.8,2.9,0.2777,451.0,619.0
806,vivinovikaa,Vivi🧸,999.1K,1.6M,197.9K,1.7K,945,0.9991,1.6,0.1979,1700.0,945.0
807,erikatitus,Erika,3.3M,1.6M,329.7K,1.1K,525,3.3,1.6,0.3297,1100.0,525.0
808,_amanndaraujo,Amanda Araújo,4.3M,3.5M,172.6K,997,400,4.3,3.5,0.1726,997.0,400.0
809,tuankiet.2000,Kiệt Hà Tịnh,4.6M,2.9M,216.5K,1.1K,268,4.6,2.9,0.2165,1100.0,268.0
810,madelineargy,madz,2.3M,1.5M,337.7K,1.1K,581,2.3,1.5,0.3377,1100.0,581.0
811,melon.228,Melon nè !,1.9M,2.4M,185.6K,1K,868,1.9,2.4,0.1856,1000.0,868.0
812,joelsvnny,Joel Sunny,1.4M,1.1M,208.3K,2.3K,1.3K,1.4,1.1,0.2083,2300.0,1300.0
813,theandrewschulz,Andrew Schulz,4.1M,1.4M,192.9K,613,2.6K,4.1,1.4,0.19290000000000002,613.0,2600.0
814,littlebubbychild,Little Bubby Child,356.2K,853.5K,65.5K,1.5K,13.4K,0.35619999999999996,0.8535,0.0655,1500.0,13400.0
815,jeonifty,🐰,250K,800.4K,235.7K,1.2K,3.2K,0.25,0.8004,0.2357,1200.0,3200.0
816,annaxsitar,anna x,12M,2.6M,372.8K,417,442,12.0,2.6,0.3728,417.0,442.0
817,agustinlocutor,agustinlocutor,1.8M,1.6M,100K,986,4.2K,1.8,1.6,0.1,986.0,4200.0
818,meosimmyyt,Mèo Simmy,4.6M,1.1M,137.1K,4.7K,626,4.6,1.1,0.1371,4700.0,626.0
819,bryceheemjames,Bryce😈,834.6K,1.4M,237.6K,1.8K,688,0.8346,1.4,0.2376,1800.0,688.0
820,c4tluvr666,Kennedy Walsh,2.6M,1.6M,312.6K,934,765,2.6,1.6,0.31260000000000004,934.0,765.0
821,losariasbrothers,Los Arias,1.6M,1.6M,241.4K,476,1.6K,1.6,1.6,0.2414,476.0,1600.0
822,stainedhands,Devyn,1.6M,1.6M,335.3K,359,1.2K,1.6,1.6,0.3353,359.0,1200.0
823,romanlolo,Roman,2.6M,1.9M,170.4K,2K,579,2.6,1.9,0.1704,2000.0,579.0
824,slayeas,Léa Martinez,3.9M,1.8M,239.7K,837,1.1K,3.9,1.8,0.2397,837.0,1100.0
825,mo_vlogs,movlogs,3.3M,4.9M,189.6K,577,300,3.3,4.9,0.1896,577.0,300.0
826,volvydooya,柊Volvy,1.3M,1.1M,233.1K,1.2K,2K,1.3,1.1,0.2331,1200.0,2000.0
827,simoneberlini,SIMONE BERLINI,6.1M,1.6M,259.8K,868,1.1K,6.1,1.6,0.25980000000000003,868.0,1100.0
828,aileenchristineee,Aileenchristineee,5.8M,1.4M,224.1K,681,1.9K,5.8,1.4,0.2241,681.0,1900.0
829,funny_v.i.p,funny_v.i.p,9.5M,1.6M,196.5K,476,2.1K,9.5,1.6,0.1965,476.0,2100.0
830,barbaracoura,Bárbara Coura,9.5M,1.4M,295.7K,1K,922,9.5,1.4,0.29569999999999996,1000.0,922.0
831,nada_m7amed,دودا🦹🏻🤍,6.4M,1.8M,190.8K,812,1.5K,6.4,1.8,0.19080000000000003,812.0,1500.0
832,yesimresmi1,~YEŞİM,17.1M,3.5M,122.5K,1.1K,765,17.1,3.5,0.1225,1100.0,765.0
833,hjevelyn,Evelyn Ha,2.8M,1.1M,245.9K,2.4K,661,2.8,1.1,0.2459,2400.0,661.0
834,wubzzy69,William,1.5M,911.9K,194.8K,1.7K,2.7K,1.5,0.9118999999999999,0.1948,1700.0,2700.0
835,onlyjayus,actuallyitsbella,18.2M,1.6M,237.4K,1.6K,503,18.2,1.6,0.2374,1600.0,503.0
836,nyx.lynnx,Nyx,202.6K,1.6M,155.5K,1.8K,1.4K,0.2026,1.6,0.1555,1800.0,1400.0
837,dhddecor,Design House Decor,76.5K,1.1M,141.1K,574,4.4K,0.0765,1.1,0.1411,574.0,4400.0
838,shoelover99,ophelia 🦋,8.9M,1M,169.2K,4.2K,481,8.9,1.0,0.1692,4200.0,481.0
839,alzoubinadia,Nadia Al-zou'bi,5.5M,1.5M,75.9K,738,6.2K,5.5,1.5,0.07590000000000001,738.0,6200.0
840,emilwarren1,Emil Warren,851.5K,1.2M,211.3K,2.6K,617,0.8515,1.2,0.21130000000000002,2600.0,617.0
841,clmnsbrock,CLMNS BROCK,1.6M,1.4M,152.8K,532,3.3K,1.6,1.4,0.15280000000000002,532.0,3300.0
842,alxjames,Alx James,2.2M,896.7K,152.8K,899,4.8K,2.2,0.8967,0.15280000000000002,899.0,4800.0
843,tanamongeaulol,Tana Mongeau,7.4M,2.1M,234.5K,1.2K,412,7.4,2.1,0.2345,1200.0,412.0
844,cassholland,Cass Holland,1.9M,1.9M,287.7K,856,571,1.9,1.9,0.2877,856.0,571.0
845,arfaytb,ARFAYTB,372.7K,894.1K,108.7K,456,7.6K,0.3727,0.8941,0.1087,456.0,7600.0
846,britneyspears,Britney Spears,7.1M,1.3M,107.8K,3.5K,2.3K,7.1,1.3,0.10779999999999999,3500.0,2300.0
847,h2balla,Hunter & Frank,3.2M,2M,234.2K,1.4K,274,3.2,2.0,0.2342,1400.0,274.0
848,elalfaeljeferd,ELALFAELJEFERD,1.3M,1.9M,198.6K,639,1.4K,1.3,1.9,0.1986,639.0,1400.0
849,adamsheey,Adam Shi,5.3M,1.2M,235.9K,845,1.9K,5.3,1.2,0.2359,845.0,1900.0
850,maxthemeatguy,Max The Meat Guy,4.9M,2.1M,273.1K,622,720,4.9,2.1,0.2731,622.0,720.0
851,iamauroramusic,AURORA,4M,1.6M,216.2K,1.6K,659,4.0,1.6,0.21619999999999998,1600.0,659.0
852,haritsuuu,ハリツ🌿極,1.9M,1.8M,92.7K,2.3K,2.5K,1.9,1.8,0.0927,2300.0,2500.0
853,vidhia_r,🐇Vidhi_R🐇,7.2M,1.1M,151.5K,2.9K,1.7K,7.2,1.1,0.1515,2900.0,1700.0
854,t_400,جوقي💚,3.8M,1.5M,219.3K,1.3K,982,3.8,1.5,0.21930000000000002,1300.0,982.0
855,gabrielabee,GABI BEE,10M,1.2M,239.1K,2.2K,432,10.0,1.2,0.2391,2200.0,432.0
856,fyp,jack neel,8.6M,1.3M,245.4K,1.9K,535,8.6,1.3,0.2454,1900.0,535.0
857,dangthuhaf,Đặng Thu Hà,980.5K,2.5M,300.4K,672,341,0.9805,2.5,0.3004,672.0,341.0
858,miguelito_peru,Miguel Alessandro,1.7M,1.8M,113.9K,1K,2.8K,1.7,1.8,0.1139,1000.0,2800.0
859,mesitaaa,Mesita,329.9K,1.6M,326.8K,611,886,0.32989999999999997,1.6,0.32680000000000003,611.0,886.0
860,munir.107,Munir | 107 Deportes,752.5K,1.2M,88.4K,371,6.7K,0.7525,1.2,0.0884,371.0,6700.0
861,plethoraklaus,grace☕︎︎,68.2K,730.3K,179.2K,3.9K,1.9K,0.0682,0.7303,0.1792,3900.0,1900.0
862,alexandramadison_,Alex and Jon,1.3M,971.2K,135K,552,5.2K,1.3,0.9712000000000001,0.135,552.0,5200.0
863,playboyjuju,Playboyjuju,358.3K,1.7M,120.1K,2.4K,1.3K,0.3583,1.7,0.1201,2400.0,1300.0
864,beamngshorts,Beamng Shorts,2.8M,2.9M,158.9K,1K,630,2.8,2.9,0.1589,1000.0,630.0
865,susymourizz,Susy Mouriz🌷,8.4M,1.8M,212.2K,1.5K,470,8.4,1.8,0.2122,1500.0,470.0
866,themerkins,THE MERKINS,631.9K,600.1K,150.9K,1.4K,6.8K,0.6319,0.6001000000000001,0.1509,1400.0,6800.0
867,carloandsarah,carloandsarah,4M,2.1M,219.6K,695,924,4.0,2.1,0.2196,695.0,924.0
868,paupelaez_,ʜᴀɴᴇᴍɪʏᴀ,6.6M,1.2M,257.6K,2.1K,336,6.6,1.2,0.2576,2100.0,336.0
869,okichloeo,chloeo,3.7M,1.4M,188.2K,1.9K,962,3.7,1.4,0.18819999999999998,1900.0,962.0
870,mrs.wahlberg,Jenny McCarthy,1.9M,1.2M,147.8K,3.2K,986,1.9,1.2,0.14780000000000001,3200.0,986.0
871,apinyabunying,Apinya Bunying,215.6K,1.5M,204.1K,1.2K,1.3K,0.21559999999999999,1.5,0.2041,1200.0,1300.0
872,imanthonyvargas,Anthony Vargas,6.6M,1.8M,292.1K,1.2K,247,6.6,1.8,0.2921,1200.0,247.0
873,creatingwonders,Jesse J. Pedigo,11.6M,752.9K,96.3K,1.4K,8.8K,11.6,0.7529,0.0963,1400.0,8800.0
874,nalgalia.g,nati👽,13.9M,1.6M,182.6K,449,2.2K,13.9,1.6,0.18259999999999998,449.0,2200.0
875,zeinazeee,Zeina Zee,3.8M,2.2M,185.6K,820,990,3.8,2.2,0.1856,820.0,990.0
876,notmarkharris,Mark,56.7K,754.3K,192.5K,1.7K,3.3K,0.0567,0.7543,0.1925,1700.0,3300.0
877,boywithuke,boywithuke,5.8M,1.6M,242.3K,1.6K,306,5.8,1.6,0.24230000000000002,1600.0,306.0
878,lilyxgarcia,Lily Garcia,12.3M,1.7M,248.5K,972,760,12.3,1.7,0.2485,972.0,760.0
879,rose.friederike,ROSE,3.9M,3.1M,123.9K,974,930,3.9,3.1,0.12390000000000001,974.0,930.0
880,kaylamalecc,kayla,8.3M,1.7M,277.3K,1.4K,128,8.3,1.7,0.2773,1400.0,128.0
881,theonlycb3,Charles Brockman III,6M,1M,235.1K,2.1K,1K,6.0,1.0,0.2351,2100.0,1000.0
882,carloscastroes,Carlos Castro,12.5M,1.6M,166.5K,285,2.5K,12.5,1.6,0.1665,285.0,2500.0
883,hf37777,نجم الثرياء⭐H,455.3K,1.1M,17.6K,5.8K,31.9K,0.45530000000000004,1.1,0.0176,5800.0,31900.0
884,jfkexplainsjokes,JFK 💀,34.1K,888.8K,181.6K,3.4K,1.1K,0.0341,0.8887999999999999,0.18159999999999998,3400.0,1100.0
885,johnmicheal1996,Ricky & The Boss,4.3M,930.6K,109.5K,784,6.3K,4.3,0.9306,0.1095,784.0,6300.0
886,celinaspookyboo,Celina Myers,26M,1.6M,246.7K,1.2K,625,26.0,1.6,0.24669999999999997,1200.0,625.0
887,yg_treasure_tiktok,yg_treasure_official,4.4M,830.5K,216.9K,2.2K,1.8K,4.4,0.8305,0.2169,2200.0,1800.0
888,0808sakura,🌸桜🌸,1.6M,1.2M,144.7K,2.7K,1.5K,1.6,1.2,0.1447,2700.0,1500.0
889,danethegreatt,Dane Lindfors,2.5M,1.3M,109.6K,896,4.3K,2.5,1.3,0.10959999999999999,896.0,4300.0
890,thedonato,thedonato,8.1M,1.3M,152.8K,3.5K,92,8.1,1.3,0.15280000000000002,3500.0,92.0
891,afrae.es,Afraa,6.6M,2.7M,185.7K,594,860,6.6,2.7,0.18569999999999998,594.0,860.0
892,rifirdus,RIFIRDUS,2.1M,2.1M,158.9K,845,1.3K,2.1,2.1,0.1589,845.0,1300.0
893,lilmabuu,Lil Mabu,958.1K,2M,206.9K,1.2K,504,0.9581000000000001,2.0,0.2069,1200.0,504.0
894,nadaahmed__1,ام خدود  فراولة😌🍓,907.4K,2.2M,150.1K,907,1.2K,0.9074,2.2,0.15009999999999998,907.0,1200.0
895,maxtaylorlifts,Max Taylor,8.9M,1.3M,231.2K,1.2K,1.2K,8.9,1.3,0.2312,1200.0,1200.0
896,daddyyankee,daddyyankee,12.1M,1.2M,197.8K,1.8K,1.2K,12.1,1.2,0.1978,1800.0,1200.0
897,imchef7,Heinz Wuth - Ciencia y Cocina,1.3M,1.3M,189.3K,530,2.5K,1.3,1.3,0.18930000000000002,530.0,2500.0
898,acdc,AC/DC,394.2K,1.1M,182.2K,879,2.6K,0.3942,1.1,0.1822,879.0,2600.0
899,subarumotorsportsusa,Subaru Motorsports USA,199.9K,1M,161.9K,840,3.4K,0.1999,1.0,0.16190000000000002,840.0,3400.0
900,in_the_nic_of_time,Nic Suarez,6.3M,2.4M,263.5K,752,362,6.3,2.4,0.2635,752.0,362.0
901,its.michhh,Michel Chavez,31.7M,1.9M,260.4K,1.2K,218,31.7,1.9,0.26039999999999996,1200.0,218.0
902,alwanr__,AlwanRK,6.9M,2.5M,237K,630,558,6.9,2.5,0.237,630.0,558.0
903,hieubuiba,Bùi Bá Hiếu,2.3M,2.8M,260.6K,796,185,2.3,2.8,0.2606,796.0,185.0
904,atom221220,💦ATOM🐦,2.8M,1.3M,241.8K,1.4K,821,2.8,1.3,0.24180000000000001,1400.0,821.0
905,cedriklorenzen,Cedrik Lorenzen,2.9M,1.1M,115.3K,2.3K,3.2K,2.9,1.1,0.1153,2300.0,3200.0
906,aureliehermansyahatta,Aurelie Hermansyah,8.7M,2.1M,187.4K,989,779,8.7,2.1,0.1874,989.0,779.0
907,abopermak,abopermak,73K,2.3M,69.7K,2.6K,1.7K,0.073,2.3,0.0697,2600.0,1700.0
908,therealdrmiami,Dr. Miami,1.8M,1.3M,270.6K,681,1.3K,1.8,1.3,0.2706,681.0,1300.0
909,47bato,Batu FuRkan,20.6K,1.3M,172.5K,1.1K,2.1K,0.0206,1.3,0.1725,1100.0,2100.0
910,priimoraa,Prii Moraa,16.1M,2M,345.5K,293,726,16.1,2.0,0.3455,293.0,726.0
911,dylanhoogerwerf,dylan hoogerwerf,2.2M,2.3M,271.4K,779,318,2.2,2.3,0.2714,779.0,318.0
912,reesewitherspoon,Reese Witherspoon,8.5M,1.5M,147.9K,2.3K,878,8.5,1.5,0.1479,2300.0,878.0
913,olisboa,LISBOA,3.3M,1.6M,262.9K,601,1.1K,3.3,1.6,0.26289999999999997,601.0,1100.0
914,altarvision,Rowan,167K,1.1M,268.1K,1.1K,1.2K,0.167,1.1,0.2681,1100.0,1200.0
915,jakehunterofficial,Jake hunter,3.6M,2M,127.8K,2.4K,353,3.6,2.0,0.1278,2400.0,353.0
916,huddy,Huddy,32.2M,2M,147.9K,1.8K,529,32.2,2.0,0.1479,1800.0,529.0
917,ikerlafuente,Iker Lafuente 🫧,153.5K,1M,162.5K,2.9K,1.1K,0.1535,1.0,0.1625,2900.0,1100.0
918,niallmacmillan,Niall MacMillan,5M,1.5M,123.2K,973,2.7K,5.0,1.5,0.1232,973.0,2700.0
919,nhabebap,🌽 NHÃ BÉ BẮP 🌽,2.3M,2.5M,267.8K,689,319,2.3,2.5,0.26780000000000004,689.0,319.0
920,lightskinmexican0,lightskinmexican0,127.3K,746.1K,119.8K,824,6.7K,0.1273,0.7461,0.1198,824.0,6700.0
921,elecherlee,Elecher Lee,135.9K,1.5M,138.3K,2.7K,632,0.1359,1.5,0.1383,2700.0,632.0
922,summerhays.bros,The Summerhays Bros,793.1K,1.3M,188.3K,539,2.2K,0.7931,1.3,0.18830000000000002,539.0,2200.0
923,amxnahali,Aminah,63.2K,1M,178.2K,2.3K,1.4K,0.0632,1.0,0.1782,2300.0,1400.0
924,dudeperfect,Dude Perfect,16.7M,2.3M,327.4K,469,416,16.7,2.3,0.32739999999999997,469.0,416.0
925,j0a0zinh0,joãozinho,6.4M,1.1M,203.9K,1.1K,1.9K,6.4,1.1,0.2039,1100.0,1900.0
926,tonystatovci,TONY STATOVCI,2.4M,991.7K,224.5K,889,2.1K,2.4,0.9917,0.2245,889.0,2100.0
927,sanjosejules,Julie Anne San Jose,2M,2.3M,274.5K,566,486,2.0,2.3,0.2745,566.0,486.0
928,zanfilms,Zan Films,1.9M,2.7M,98.7K,1.2K,1.3K,1.9,2.7,0.0987,1200.0,1300.0
929,melch.cooks,melch.cooks,121.6K,1.6M,156.4K,2K,729,0.1216,1.6,0.1564,2000.0,729.0
930,sweizayne,Iana McCalebb,1.7M,907.7K,164.4K,1.9K,2.5K,1.7,0.9077000000000001,0.16440000000000002,1900.0,2500.0
931,taetoowavy,taetoowavy,8M,873K,171.3K,1.9K,2.4K,8.0,0.873,0.1713,1900.0,2400.0
932,a.l.capone,💉طبيب القلب💔,75.9K,863K,34.5K,629,21.3K,0.07590000000000001,0.863,0.0345,629.0,21300.0
933,chris,Chris Olsen,8.1M,1.8M,368K,559,424,8.1,1.8,0.368,559.0,424.0
934,lance210,Lance Stewart,22.3M,2.3M,218.4K,535,784,22.3,2.3,0.2184,535.0,784.0
935,mozamir,Amir,2.1M,1.4M,175.9K,1.8K,869,2.1,1.4,0.1759,1800.0,869.0
936,abdullah_eltourky,Eltourky 👑,7.3M,1.8M,200.5K,824,968,7.3,1.8,0.2005,824.0,968.0
937,fionntime,FionnTime,2.6M,910.2K,210.3K,1.4K,2K,2.6,0.9102,0.21030000000000001,1400.0,2000.0
938,ngoc.matcha,Ngọc Matcha 💚,4.1M,1.1M,150K,3.3K,617,4.1,1.1,0.15,3300.0,617.0
939,posterised,Posterised,5.5M,1.5M,199.7K,715,1.4K,5.5,1.5,0.1997,715.0,1400.0
940,texassbitty,Texassbitty,142K,1.1M,126.1K,918,3.7K,0.142,1.1,0.1261,918.0,3700.0
941,ethankleinh3,Ethan Klein,1.9M,970.5K,136.6K,3K,1.9K,1.9,0.9705,0.1366,3000.0,1900.0
942,emrata,Emrata,1.6M,2M,186.8K,965,752,1.6,2.0,0.18680000000000002,965.0,752.0
943,mahmooud_shaar,ابو عرب 🛑🎬,1.5M,3M,100.2K,941,1.2K,1.5,3.0,0.1002,941.0,1200.0
944,anyaischuk,Anya Ischuk,11.8M,1.9M,219.3K,877,692,11.8,1.9,0.21930000000000002,877.0,692.0
945,.02h.88m,CALL ME LUCAS,1.2M,917.8K,172.6K,1.6K,2.4K,1.2,0.9178,0.1726,1600.0,2400.0
946,thiennhan5272,Thiện Nhân,4.1M,2.9M,216.8K,712,295,4.1,2.9,0.21680000000000002,712.0,295.0
947,elchaparrito951,el chuacheneguer,6.1M,1.3M,49.5K,525,9.3K,6.1,1.3,0.0495,525.0,9300.0
948,angryreactions,Oneya D’Amelio,26.6M,1.5M,257.1K,1.3K,376,26.6,1.5,0.2571,1300.0,376.0
949,thereallifeguys,The Real Life Guys,474K,2.3M,216.1K,639,626,0.474,2.3,0.2161,639.0,626.0
950,aspenackley,Sabrina & Andrew,2.2M,1.3M,192.1K,598,1.9K,2.2,1.3,0.1921,598.0,1900.0
951,gutierrezcastro,Gutierrez Castro,14.2M,1.1M,147.9K,894,3K,14.2,1.1,0.1479,894.0,3000.0
952,joelbergs,JoelBergs,11.4M,1.9M,317.5K,511,528,11.4,1.9,0.3175,511.0,528.0
953,ragnarlebretonofficiel,Ragnar Le Breton officiel,383.4K,1.5M,135.4K,400,2.7K,0.38339999999999996,1.5,0.1354,400.0,2700.0
954,cowboyjess,cowboyjess,320K,1.6M,315.9K,719,509,0.32,1.6,0.31589999999999996,719.0,509.0
955,busheadoph,Busheado,14.3M,3.2M,209.9K,709,215,14.3,3.2,0.2099,709.0,215.0
956,ryansunandar,Ujang SGN💰,4.8M,873.2K,85.7K,5.4K,2.9K,4.8,0.8732000000000001,0.0857,5400.0,2900.0
957,nathaliavalente,Nathalia,13.6M,2.3M,242.9K,731,375,13.6,2.3,0.2429,731.0,375.0
958,mohaimen.alaa,مهيمن علاء,4.1M,1.2M,171.2K,1.9K,1.2K,4.1,1.2,0.1712,1900.0,1200.0
959,itsmenicksmithy2,Nick Smithyman 😎,12.6M,1.7M,208.6K,982,806,12.6,1.7,0.2086,982.0,806.0
960,noeldeyzel_bodybuilder,Noel Deyzel🇿🇦,5.3M,1.4M,228.2K,1K,885,5.3,1.4,0.2282,1000.0,885.0
961,_liltam,tamz,497.3K,2.2M,281.6K,370,623,0.4973,2.2,0.2816,370.0,623.0
962,mak.beh,BEH,861K,2.6M,233.2K,676,336,0.861,2.6,0.2332,676.0,336.0
963,rajaabelmir,Belmir Rajaa,1.1M,1.4M,133.8K,1.1K,2.3K,1.1,1.4,0.1338,1100.0,2300.0
964,ditanganu,DitaKerang🌊,7.7M,2.4M,211.4K,846,363,7.7,2.4,0.2114,846.0,363.0
965,kinosgina,KINOSGINA,1.7M,1.6M,87.5K,2.8K,1.8K,1.7,1.6,0.0875,2800.0,1800.0
966,texasbushman,Texas BUSHMAN,2.1M,1.2M,197K,611,2K,2.1,1.2,0.197,611.0,2000.0
967,notorious_foodie,Notorious Foodie,1.5M,1.7M,177.7K,528,1.5K,1.5,1.7,0.1777,528.0,1500.0
968,10july__,𝑺𝒂𝒅𝒔𝒂𝒔𝒔𝒔 ❤️‍🔥,1.1M,1M,123.1K,672,4.3K,1.1,1.0,0.1231,672.0,4300.0
969,lamminhduc2404,🦋AĐ🦋,130.2K,2.3M,88.6K,2.3K,686,0.13019999999999998,2.3,0.0886,2300.0,686.0
970,papavince.davao,PapaVinceDavao,599.9K,899.6K,116.1K,2.8K,3K,0.5999,0.8996000000000001,0.1161,2800.0,3000.0
971,namyulenka,Namy,6.9M,1.5M,229.9K,1.2K,654,6.9,1.5,0.2299,1200.0,654.0
972,bankrolldyl,BankrollDyl💸,5M,1.1M,226.9K,1.2K,1.2K,5.0,1.1,0.22690000000000002,1200.0,1200.0
973,interesting.thingsz,News For You 🌍,4.1M,2.4M,186K,991,357,4.1,2.4,0.186,991.0,357.0
974,psg,psg,30.1M,1.7M,177.6K,1.4K,576,30.1,1.7,0.1776,1400.0,576.0
975,elo_os,Eloisa Os,2.4M,1.6M,276.9K,716,637,2.4,1.6,0.2769,716.0,637.0
976,zenitfc,FC Zenit,4M,1.9M,221.5K,1K,378,4.0,1.9,0.2215,1000.0,378.0
977,lauralove5514,LauraLove,7.6M,1.5M,230.2K,1.1K,705,7.6,1.5,0.2302,1100.0,705.0
978,rbplaying,RB playing,4.9M,1.4M,100.2K,675,3.6K,4.9,1.4,0.1002,675.0,3600.0
979,manutd,Manchester United,17.1M,1.6M,188.7K,1.5K,519,17.1,1.6,0.18869999999999998,1500.0,519.0
980,amika0429.14,あみか🦄✨@フォーエイト,1.2M,1.3M,96.8K,3.2K,1.5K,1.2,1.3,0.0968,3200.0,1500.0
981,chikn.nuggit,Chikn Nuggit,4.7M,948.5K,146.9K,3.2K,1.1K,4.7,0.9485,0.1469,3200.0,1100.0
982,aidanmrz,Aidan Mirza,1.1M,2.5M,157.8K,991,512,1.1,2.5,0.15780000000000002,991.0,512.0
983,shehabeldin100,Shehabeldin,6.9M,1.4M,141K,1.6K,1.4K,6.9,1.4,0.141,1600.0,1400.0
984,mrchiquitolina,Nicolino,269.2K,805.2K,163.6K,487,4K,0.2692,0.8052,0.1636,487.0,4000.0
985,nacha_acashore,Michelson,1.2M,2.2M,231.3K,434,743,1.2,2.2,0.2313,434.0,743.0
986,melanypalacioss,Melany🥀,5.2M,1.6M,352.5K,909,137,5.2,1.6,0.3525,909.0,137.0
987,fortcraft354,Fortcraft354,189.2K,1.4M,156.8K,2.6K,70,0.18919999999999998,1.4,0.15680000000000002,2600.0,70.0
988,davidspade,DavidSpade,4.5M,1.1M,158.6K,1.5K,1.8K,4.5,1.1,0.1586,1500.0,1800.0
989,monika.kociolek,Monika Kociołek,2.8M,1.1M,170.4K,2.5K,614,2.8,1.1,0.1704,2500.0,614.0
990,yayisrenteria,Yayis Renteria,339.9K,1.9M,133.6K,382,1.9K,0.3399,1.9,0.1336,382.0,1900.0
991,fabirommel,Fabi Rommel,409.7K,1M,105.8K,573,4.9K,0.4097,1.0,0.10579999999999999,573.0,4900.0
992,juanito_pochi,JUANITO🔥🚶,827.2K,2.1M,191.3K,671,781,0.8272,2.1,0.1913,671.0,781.0
993,brandonspam_,Brandon Conner,8.5M,1.5M,236.5K,1.4K,220,8.5,1.5,0.2365,1400.0,220.0
994,macy.blackwell,macy.blackwell,1.2M,1.1M,104.4K,382,4.7K,1.2,1.1,0.1044,382.0,4700.0
995,calebrownn,Cale Brown,5.5M,834.6K,148.2K,1.9K,2.8K,5.5,0.8346,0.1482,1900.0,2800.0
996,brendadialoy,Brenda Dialoy,371.9K,1.2M,187.5K,626,2K,0.37189999999999995,1.2,0.1875,626.0,2000.0
997,jujufitcats,Juju Fitcats,4.3M,2.2M,280.8K,380,558,4.3,2.2,0.2808,380.0,558.0
998,xoteam,XO Team,37.8M,2.5M,180.2K,859,450,37.8,2.5,0.1802,859.0,450.0
999,kimsnwuo,️️,100.9K,957.4K,226.8K,908,1.7K,0.1009,0.9574,0.2268,908.0,1700.0
1000,jass_mcg,jass_mcg,52.2K,503.8K,116K,8.1K,1.8K,0.0522,0.5038,0.116,8100.0,1800.0
